Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
0.7905317769130995,-0.7815743743603679,False,False,True,False,False,False,False,False,False
-0.04604409857328149,-0.05139188202488674,False,False,True,False,False,False,False,False,False
-0.36381322957198453,-0.03379073028218904,False,False,False,True,False,False,False,False,False
-0.7464332036316471,-2.712025583151443,False,False,False,True,False,False,False,False,False
0.9461738002594028,1.503937069272168,False,False,False,False,False,True,False,False,False
-0.506485084306096,0.3481236259933908,False,False,False,False,True,False,False,False,False
0.27068741893644604,-0.006234884323064586,False,False,False,False,True,False,False,False,False
1.218547341115434,2.233523612670303,False,False,False,False,False,False,False,False,True
3.9818417639429295,1.261334029796643,False,False,False,False,True,False,False,False,False
-0.6102464332036317,0.20309285778747452,False,False,False,True,False,False,False,False,False
1.5817120622568088,0.2381283381099516,False,False,False,False,False,False,True,False,False
-0.03955901426718565,-0.7737858366600537,False,False,False,False,False,False,False,False,True
0.3066147859922174,0.42595680493056587,False,False,False,False,True,False,False,False,False
0.01232166018158221,-0.23835201954116986,False,False,True,False,False,False,False,False,False
0.16990920881971444,-0.17495401133594696,False,False,False,True,False,False,False,False,False
-0.1822308690012971,-0.3623312286068901,False,False,True,False,False,False,False,False,False
-0.3398184176394293,-0.08261775557818042,False,False,False,True,False,False,False,False,False
1.6076523994811927,1.3050943536756023,False,False,False,False,False,False,True,False,False
1.1083009079118022,1.0231698939063596,False,True,False,False,False,False,False,False,False
0.6478599221789878,0.113940779979538,False,False,False,False,False,True,False,False,False
-0.4468223086900129,-0.4785517527803318,False,False,False,True,False,False,False,False,False
0.20687418936446153,0.5989564332611648,False,False,False,False,False,False,True,False,False
-1.1549935149156936,-2.939240453340712,False,False,False,False,True,False,False,False,False
-0.07846952010376138,-0.24830006951870615,False,True,False,False,False,False,False,False,False
0.9591439688715949,-0.3016847927139563,False,False,False,False,False,False,True,False,False
0.2717250324254213,0.5946777435916559,False,False,False,False,False,False,False,False,True
0.7256809338521397,0.2548669728722595,False,True,False,False,False,False,False,False,False
-0.46757457846952,-0.07729996074396352,False,False,False,True,False,False,False,False,False
0.018806744487678276,0.47259788354942267,False,False,False,False,False,True,False,False,False
3.008430609597924,1.9273719107464113,False,True,False,False,False,False,False,False,False
-0.08495460440985744,-0.18849021636849922,False,False,False,True,False,False,False,False,False
0.6608300907911799,1.0983200528652284,False,False,False,False,False,True,False,False,False
0.6608300907911799,0.6909991273189957,False,False,False,False,False,False,True,False,False
-0.04604409857328149,-0.00961893558120299,False,False,False,True,False,False,False,False,False
-0.20168612191958507,0.08706824322274122,False,False,False,True,False,False,False,False,False
3.0603112840466915,1.8878874197593547,False,False,False,False,False,False,False,True,False
0.8229571984435793,0.7638784948503506,False,False,False,True,False,False,False,False,False
0.5116731517509726,0.622883629223323,False,False,False,False,False,True,False,False,False
-0.9474708171206224,-3.8355574603336438,False,False,True,False,False,False,False,False,False
0.5311284046692604,0.10350506361941189,False,False,False,True,False,False,False,False,False
0.1809338521400777,-0.7923738941349198,False,False,False,False,False,False,False,False,True
1.9448767833981833,0.42901266654939857,False,False,False,False,False,False,False,True,False
0.9396887159533067,-0.7915892510183128,False,False,True,False,False,False,False,False,False
-0.2782101167315176,0.16876890931207464,False,False,False,True,False,False,False,False,False
-0.28599221789883283,0.5778255554618517,False,False,False,False,False,True,False,False,False
-0.28599221789883283,-0.06906594630698738,False,False,False,False,False,False,False,False,True
-0.11089494163424127,1.0007620829200141,False,False,False,True,False,False,False,False,False
-0.28599221789883283,-0.1970283354743768,False,False,True,False,False,False,False,False,False
-0.8177691309987029,0.44481080479733504,False,False,False,False,True,False,False,False,False
0.20038910505836546,0.17741006999066322,False,False,False,False,False,True,False,False,False
3.0732814526588834,1.2433218740696748,False,False,False,False,False,False,False,True,False
1.8151750972762637,1.7089931569964816,False,True,False,False,False,False,False,False,False
0.025291828793774118,-0.45196277860924733,False,False,False,True,False,False,False,False,False
1.9189364461737994,2.5345564333883566,False,False,False,False,False,False,True,False,False
0.7127107652399476,1.1506946152290425,False,False,False,False,False,True,False,False,False
-0.01232166018158244,-0.31660072828372554,False,False,False,True,False,False,False,False,False
-0.5888456549935148,-0.9431336469332837,False,False,False,True,False,False,False,False,False
1.0512321660181578,-0.4582474452315041,False,False,False,False,True,False,False,False,False
0.14202334630350175,-0.19112350258661379,False,False,False,False,False,True,False,False,False
-0.37354085603112835,-0.1348288321323102,False,False,False,False,True,False,False,False,False
-0.3897535667963683,-1.1505276454677442,False,False,False,True,False,False,False,False,False
-0.6426718547341116,-0.08213431968416114,False,False,False,True,False,False,False,False,False
0.07717250324254198,-0.14705839901068718,False,False,True,False,False,False,False,False,False
0.4792477302204927,0.4361094739656681,False,False,False,False,False,True,False,False,False
1.3352788586251614,-0.14258348383636602,False,False,False,False,False,False,True,False,False
-0.44163424124513617,-1.5372763606835211,False,False,False,True,False,False,False,False,False
-0.3495460440985732,-0.05361160193699744,False,False,False,True,False,False,False,False,False
0.32425421530479887,-0.25037001080302357,False,False,False,True,False,False,False,False,False
-0.317769130998703,-0.017837345779537644,False,False,False,True,False,False,False,False,False
0.21011673151750931,-0.5592855470816253,False,False,False,True,False,False,False,False,False
0.40012970168612144,-0.11404108868946257,False,False,False,True,False,False,False,False,False
2.2496757457846943,0.43591957686331334,True,False,False,False,False,False,False,False,False
-0.6971465629053177,-0.7753813917084406,False,False,False,False,True,False,False,False,False
6.6919584954604385,-1.5068329236224913,False,False,True,False,False,False,False,False,False
-0.6381322957198443,-0.72462062283637,False,False,False,False,True,False,False,False,False
-0.20817120622568092,0.20792721672767148,False,False,False,True,False,False,False,False,False
