Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
0.2500000000000002,-0.40353460972017696,-0.13083603244162562,False,True,False,False,False,False,False
-0.7499999999999998,0.3976435935198817,-0.3951488182749925,False,False,False,False,True,False,False
-0.6249999999999998,-0.24447717231222418,-0.308603972106414,False,False,False,True,False,False,False
1.875,1.5522827687776137,0.18858747676584287,False,False,False,False,False,True,False
0.0,-0.6568483063328427,-0.2846635915195992,False,False,False,True,False,False,False
-0.3749999999999998,0.25036818851251796,0.7722162740274459,False,False,False,False,True,False,False
0.37500000000000006,-0.3622974963181152,-0.5232931255527662,False,False,True,False,False,False,False
-0.12499999999999983,0.6097201767304856,0.2302985367955392,False,False,True,False,False,False,False
0.37500000000000006,-0.6804123711340209,0.11842087441021326,False,False,True,False,False,False,False
0.5000000000000001,-0.9455081001472756,-0.4575088738168511,False,False,True,False,False,False,False
2.25,1.3460972017673045,0.09059090074303103,True,False,False,False,False,False,False
1.875,-0.4329896907216497,-1.3755450222447159,False,False,True,False,False,False,False
0.1250000000000001,-1.6818851251840943,-2.6805475829746483,False,True,False,False,False,False,False
0.1250000000000001,-0.8159057437407955,-0.39702761646837803,False,False,False,True,False,False,False
0.37500000000000006,2.3652430044182613,0.21107282168109906,False,True,False,False,False,False,False
-0.1874999999999999,1.1752577319587625,-0.8269296632627556,False,False,False,False,False,False,True
0.625,-0.04418262150220954,0.23518466655782358,False,False,False,False,True,False,False
-0.9999999999999999,0.10898379970544884,0.5763694965508013,False,False,False,True,False,False,False
2.25,2.347569955817378,0.9523328503721311,False,False,False,False,False,True,False
0.7500000000000001,-0.06774668630338766,-0.013570572815327064,False,False,False,False,True,False,False
-0.7499999999999998,-0.5508100147275408,-0.7648315294960137,False,False,False,True,False,False,False
-0.4999999999999999,-0.1325478645066278,0.04873878947148834,False,False,False,True,False,False,False
-0.7499999999999998,0.22680412371133984,0.9230735232853924,False,False,False,True,False,False,False
-0.12499999999999983,0.2150220913107506,-0.0959672246014582,False,False,False,False,True,False,False
-1.1249999999999998,0.07363770250368146,-0.5712045691155335,False,False,False,False,False,False,True
-0.6249999999999998,-0.14432989690721665,0.08182737667548821,False,False,False,True,False,False,False
-1.2499999999999998,0.09720176730485958,-1.0764870929491142,False,False,False,False,False,False,True
-1.1249999999999998,-0.3210603829160534,-1.1690537457110322,False,False,False,False,False,False,True
-0.7499999999999998,0.9160530191458024,1.070600800839696,False,False,False,False,True,False,False
2.5,1.9351988217967595,0.720089734432788,False,False,False,False,False,True,False
-0.12499999999999983,-0.24447717231222418,-0.18210249032815584,False,False,False,True,False,False,False
-0.9999999999999999,0.1384388807069216,0.8743813569949315,False,False,False,True,False,False,False
0.8750000000000002,2.8777614138438876,6.121769123054478,False,False,True,False,False,False,False
-0.6249999999999998,-0.42120765832106066,0.4290474459930349,False,False,False,True,False,False,False
0.0,-0.24447717231222418,-0.3413632021720974,False,False,False,True,False,False,False
0.5000000000000001,-0.3622974963181152,-0.7186794417728827,False,False,False,False,True,False,False
2.625,2.0235640648011777,0.971913532450902,False,False,False,False,False,True,False
-0.24999999999999994,-1.1281296023564067,-2.4386979489218232,False,False,True,False,False,False,False
0.625,-0.33284241531664244,-0.06222658023886537,False,False,True,False,False,False,False
1.0000000000000002,5.528718703976435,1.5879817744503626,True,False,False,False,False,False,False
0.37500000000000006,0.26215022091310725,0.8528484241534927,False,False,True,False,False,False,False
-0.24999999999999994,-0.4801178203240062,-0.3481765396582326,False,False,True,False,False,False,False
0.0,0.22680412371133984,0.14061520948739292,False,False,False,True,False,False,False
-0.12499999999999983,1.3460972017673045,0.5391920014219087,False,True,False,False,False,False,False
3.125,1.8350515463917518,0.5788222991112003,False,False,False,False,False,True,False
0.2500000000000002,0.7039764359351985,-0.7925773656987836,False,False,True,False,False,False,False
0.7500000000000001,-0.4270986745213553,-0.005680744216500545,False,False,True,False,False,False,False
3.125,1.5876288659793811,0.30878632376717335,False,False,False,False,False,True,False
-0.4999999999999999,-0.5743740795287191,-0.7957684571476672,False,False,False,True,False,False,False
0.37500000000000006,-0.2562592047128132,-0.18218069581254798,False,True,False,False,False,False,False
-0.4999999999999999,-0.24447717231222418,0.4883760142197401,False,False,False,False,True,False,False
0.37500000000000006,0.7805596465390275,0.893916553191859,False,False,True,False,False,False,False
4.624999999999999,1.876288659793814,0.7560200424469615,False,False,False,False,False,True,False
0.0,-0.8571428571428573,-0.863967198633665,False,False,False,True,False,False,False
-0.12499999999999983,0.10898379970544884,0.24794897187745205,False,False,False,False,True,False,False
1.0000000000000002,10.771723122238585,3.2488748829938765,False,False,False,False,False,False,True
0.625,-0.4860088365243008,-0.20977205194910492,False,False,True,False,False,False,False
0.2500000000000002,0.4329896907216491,1.324477632122408,False,False,False,False,True,False,False
-1.3749999999999998,-0.3210603829160534,-0.6629757604399641,False,False,False,False,False,False,True
-0.12499999999999983,1.0810014727540496,2.625821941268625,False,False,False,False,True,False,False
-0.24999999999999994,-0.4860088365243008,0.09154032241009873,False,False,False,True,False,False,False
0.625,-0.42120765832106066,0.2104506248460735,False,False,True,False,False,False,False
0.37500000000000006,0.28571428571428537,1.171068087119351,False,False,True,False,False,False,False
