Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,LnEquilibrium_Pressure_25C,HtoM
AB2(C14),(Zr)(Mn0.71Ni0.29)2.8,1.2952356066749513,18.6,,,70.8,1.012133671,0.85
AB2(C14),(Zr)(Mn0.71Ni0.29)2.8,1.325307836032236,26.4,,,92.1,0.427446581,0.87
AB2(C14),(Zr)(Mn0.75Co0.25)2,1.654564328378363,44.35,,,117.15,-3.800706109,1.13
AB2(C14),(Zr)(Mn0.88Fe0.13)3.2,1.236493141274954,21.7,,,80.3,0.904194449,0.79
AB2(C14),(Zr)(Mn0.88Ni0.13)3.2,1.2926706928911165,15.89,,,65.18,1.429407361,0.83
AB2(C14),(Zr)(Mn0.8Fe0.2)2,1.0838050649692823,42.2,,,103.8,-4.539046492,0.73
AB2(C14),(Zr)(Mn0.93Fe0.07)2.8,1.416574567573632,15.0,,,47.4,-0.350024418,0.92
AB2(C14),(Zr)(V0.15Fe0.85)1.92,1.703229511166208,29.1,,,102.2,0.553030432,1.16
AB2(C14),(Zr)(V0.25Co0.75)2,1.4529328232911347,34.31,,,109.62,-0.65624667,1.0
AB2(C14),(Zr)(V0.25Fe0.75)1.92,1.8126612956882144,42.5,,,123.6,-2.278658194,1.23
AB2(C14),(Zr)(V0.25Fe0.75)2,1.5883767003805631,32.22,,,87.86,-2.430287841,1.07
AB2(C14),(Zr)(V0.5Co0.5)2,1.8159042254992463,49.37,,,101.67,-7.687591949,1.23
AB2(C14),(Zr)(V0.5Fe0.5)2,1.6077276581358304,48.12,,,93.72,-8.139515713,1.07
AB2(C15),(Sc)(Fe)1.8,1.7347621582530524,29.6,,,86.0,-1.597093055,0.91
AB2(C15),(Sc0.2Zr0.8)(Fe)2,1.884337121630144,21.0,,,117.0,5.600596419,1.23
AB2(C15),(Sc0.5Zr0.5)(Fe)2,1.9784160539198965,19.0,,,95.0,3.761383879,1.2
AB2(C15),(Ti)(Cr)1.8,2.452151837254587,21.3,,,116.0,5.3593039,1.26
AB2(C15),(Ti)(Cr0.93Mo0.07)2.37,0.0,17.2,,,117.0,7.133508851,0.0
AB2(C15),(Ti)(Cr0.95Ni0.05)1.85,2.137384663918657,20.5,,,107.8,4.695782754,1.1
AB2(C15),(Ti0.15Zr0.85)(V0.06Mn0.33Fe0.06Ni0.56)1.96,1.6915291511822386,33.984,,,107.67,-0.759271496,1.13
AB2(C15),(Ti0.15Zr0.85)(V0.06Mn0.33Fe0.06Ni0.56)2.01,1.7102037704977269,35.25,,,113.33,-0.589227537,1.14
AB2(C15),(Ti0.15Zr0.85)(V0.06Mn0.33Fe0.06Ni0.56)2.06,1.521564183391729,34.538,,,116.61,0.092487666,1.01
AB2(C15),(Ti0.15Zr0.85)(V0.06Mn0.33Fe0.06Ni0.56)2.11,1.5100214676889376,28.129,,,98.06,0.446799197,1.0
AB2(C15),(Ti0.21Zr0.78La0.01)(V0.06Mn0.32Fe0.06Ni0.56Sn0.01)2.15,0.9466232636248014,35.4,,,130.0,1.355215609,0.62
AB2(C15),(Ti0.21Zr0.78La0.01)(V0.06Mn0.32Fe0.06Ni0.56Sn0.01)2.18,1.564598806651716,31.8,,,119.0,1.484444161,1.03
AB2(C15),(Ti0.2Zr0.8)(Fe)2,1.7737684443497277,19.8,,,125.0,7.046858959,1.16
AB2(C15),(Ti0.2Zr0.8)(V0.1Fe0.5Ni0.4)2,1.866556317884583,26.8,,,118.3,3.417243022,1.23
AB2(C15),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.05Mn0.06Ni0.61Co0.12Sn0.01)1.98,0.931330914475094,12.0,,,47.0,0.812060361,0.59
AB2(C15),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.05Mn0.06Ni0.6Co0.12Sn0.01)2.1,0.902904335927489,11.0,,,47.0,1.215458369,0.57
AB2(C15),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.05Mn0.06Ni0.6Co0.12Sn0.01)2.2,0.6213100469565835,7.0,,,32.0,1.02495366,0.39
AB2(C15),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.08Mn0.08Ni0.6Co0.08Sn0.01)2.1,1.0633263366889796,20.0,,,72.0,0.591704199,0.67
AB2(C15),(Ti0.37Zr0.63)(Al0.01V0.15Cr0.08Mn0.08Ni0.6Co0.08Sn0.01)2.2,0.7662985197869435,14.0,,,54.0,0.847176157,0.48
AB2(C15),(Ti0.4Zr0.6)(Fe0.6Ni0.4)2,1.6465236566940746,16.5,,,124.0,8.25779927,1.04
AB2(C15),(Ti0.8Zr0.2)(V0.1Fe0.5Ni0.4)2,2.146834351602797,15.1,,,117.0,7.980644668,1.23
AB2(C15),(Y0.09Zr0.91)(Fe)1.97,1.2063493863108274,23.73,,,119.99,4.858936474,0.82
AB2(C15),(Y0.14Zr0.86)(Fe)2.04,1.54649834033317,24.41,,,118.69,4.428270777,1.05
AB2(C15),(Y0.26Zr0.74)(Fe)2.05,1.6365086193066491,24.05,,,105.01,2.92815783,1.11
AB2(C15),(Y0.29Zr0.71)(Fe)2.02,1.6922502914685973,29.19,,,114.49,1.994881209,1.15
AB2(C15),(Y0.2Zr0.8)(Fe)1.95,1.5829378768256737,25.06,,,116.53,3.90627214,1.08
AB2(C15),(Y0.39Zr0.61)(Fe)1.98,1.776988870890427,31.3,,,107.58,0.312624178,1.21
AB2(C15),(Zr)(Al0.03Fe0.97)1.93,1.5035636891200452,12.64,,,83.13,4.899353323,1.02
AB2(C15),(Zr)(Al0.05Fe0.95)1.93,1.3071589531166818,15.2,,,90.6,4.7650946,0.88
AB2(C15),(Zr)(Al0.07Fe0.93)1.92,1.2547109388275606,15.9,,,88.5,4.23014245,0.84
AB2(C15),(Zr)(Al0.12Fe0.88)1.92,1.0026398245803885,19.3,,,90.3,3.075080831,0.66
AB2(C15),(Zr)(Al0.12Fe0.88)2,1.4145713536484184,19.3,,,92.4,3.327654375,0.93
AB2(C15),(Zr)(Al0.15Fe0.85)1.92,0.905027989018754,21.4,,,92.3,2.468491246,0.59
AB2(C15),(Zr)(Al0.16Fe0.84)2,1.431194879704301,23.4,,,97.9,2.33522468,0.93
AB2(C15),(Zr)(Al0.1Fe0.9)1.92,1.1462560159105073,18.1,,,92.9,3.871868543,0.76
AB2(C15),(Zr)(Al0.2Fe0.8)2,1.3560476112785609,28.7,,,101.5,0.630198454,0.87
AB2(C15),(Zr)(Cr)2,1.9292272986213197,46.02,,,98.32,-6.739123561,1.27
AB2(C15),(Zr)(Cr)2,1.9739000453952893,39.2,,,98.0,-4.026436541,1.3
AB2(C15),(Zr)(Cr0.1Fe0.9)2,1.777827072407456,22.0,,,109.0,4.235013481,1.21
AB2(C15),(Zr)(Cr0.1Fe0.9)2,0.639114273943906,23.2,,,108.0,3.630662755,0.43
AB2(C15),(Zr)(Fe)1.9,1.8465035988291076,21.8,,,121.4,5.807079724,1.27
AB2(C15),(Zr)(Fe)2,1.7999512301565126,21.2,,,122.0,6.121282398,1.23
AB2(C15),(Zr)(Fe)2.5,1.786150053690164,18.3,,,120.0,7.05059039,1.19
AB2(C15),(Zr)(Fe0.6Ni0.4)2,1.780318157367091,21.7,,,114.0,4.957398465,1.23
AB2(C15),(Zr)(Fe0.7Ni0.3)2,1.7424036991239231,21.6,,,114.0,4.997738265,1.2
AB2(C15),(Zr)(Fe0.8Ni0.2)2,0.735489025043645,22.0,,,115.0,4.956652178,0.5
AB2(C15),(Zr)(Fe0.8Ni0.2)2,1.7471831833197329,18.7,,,111.0,5.806773141,1.2
AB2(C15),(Zr)(Fe0.9Co0.1)2,1.722893271785217,16.8,,,108.1,6.22443732,1.18
AB2(C15),(Zr)(Fe0.9Cu0.1)2,1.6294573166339643,19.6,,,112.0,5.56398805,1.12
AB2(C15),(Zr)(Fe0.9Ni0.1)2,0.5908979647332618,22.6,,,120.0,5.315978954,0.4
AB2(C15),(Zr)(Fe0.9Ni0.1)2,1.7232923421792568,21.5,,,119.7,5.723634828,1.18
AB2(C15),(Zr)(Mn0.11Fe0.89)1.97,0.7830076717963119,18.06,,,91.23,3.687148359,0.53
AB2(C15),(Zr)(Mn0.15Fe0.85)1.91,1.1878843880239645,19.06,,,91.76,3.347495102,0.81
AB2(C15),(Zr)(Mn0.1Fe0.9)2,1.7727587714234168,21.8,,,115.8,5.133550273,1.21
AB2(C15),(Zr)(Mn0.2Fe0.8)1.92,1.5216378889259186,19.97,,,92.81,3.106689687,1.04
AB2(C15),(Zr)(Mn0.3Fe0.7)1.95,1.5834603548210324,25.5,,,99.25,1.650457569,1.08
AB2(C15),(Zr)(V)2,2.44416846226466,91.21,,,133.89,-20.69056482,1.6
AB2(C15),(Zr)(V)2,2.7857300380540737,78.0,,,88.4,-20.83290118,1.83
AB2(C15),(Zr)(V0.02Fe0.98)2.03,1.732640218339631,20.41,,,113.86,5.460943659,1.18
AB2(C15),(Zr)(V0.05Fe0.95)1.93,1.350072587961087,23.0,,,115.1,4.565281481,0.92
AB2(C15),(Zr)(V0.05Fe0.95)2.06,1.5785897477705824,20.69,,,111.99,5.123081489,1.07
AB2(C15),(Zr)(V0.05Mn0.09Fe0.86)1.92,1.5237526936999168,19.27,,,87.86,2.793716368,1.04
AB2(C15),(Zr)(V0.05Mn0.15Fe0.79)1.94,1.5823703383554937,20.75,,,85.58,1.92246461,1.08
AB2(C15),(Zr)(V0.07Fe0.93)1.98,1.645185164819697,21.86,,,111.61,4.605402035,1.12
AB2(C15),(Zr)(V0.08Fe0.92)2.01,1.706725094170009,22.03,,,108.38,4.148342209,1.16
AB2(C15),(Zr)(V0.1Fe0.9)1.92,1.555030775168496,24.2,,,105.4,2.914554644,1.06
AB2(C15),(Zr)(V0.1Fe0.9)2,1.765202735771339,23.6,,,102.0,2.747664854,1.2
